Question,Answer,Guessed_Word,Result Label
enormously,tremendously,tremendously,Correct
provisions,stipulations,interrelations,Wrong
haphazardly,randomly,densely,Wrong
prominent,conspicuous,mysterious,Wrong
zenith,pinnacle,pinnacle,Correct
flawed,imperfect,imperfect,Correct
urgently,desperately,desperately,Correct
consumed,eaten,eaten,Correct
advent,coming,coming,Correct
concisely,succinctly,succinctly,Correct
salutes,greetings,greetings,Correct
solitary,alone,restless,Wrong
hasten,accelerate,accelerate,Correct
perseverance,endurance,endurance,Correct
fanciful,imaginative,imaginative,Correct
showed,demonstrated,repeated,Wrong
constantly,continually,instantly,Wrong
issues,subjects,benefits,Wrong
furnish,supply,advise,Wrong
costly,expensive,expensive,Correct
recognized,acknowledged,acknowledged,Correct
spot,location,location,Correct
make,earn,trade,Wrong
often,frequently,frequently,Correct
easygoing,relaxed,relaxed,Correct
debate,argument,election,Wrong
narrow,thin,clear,Wrong
arranged,planned,planned,Correct
infinite,limitless,relative,Wrong
showy,striking,prickly,Wrong
levied,imposed,imposed,Correct
deftly,skillfully,occasionally,Wrong
distribute,circulate,commercialize,Wrong
discrepancies,differences,differences,Correct
prolific,productive,promising,Wrong
unmatched,unequaled,unrecognized,Wrong
peculiarly,uniquely,Guess,Guess
hue,color,color,Correct
hind,rear,hairy,Wrong
highlight,accentuate,alter,Wrong
hastily,hurriedly,hurriedly,Correct
temperate,mild,mild,Correct
grin,smile,smile,Correct
verbally,orally,overtly,Wrong
physician,doctor,nurse,Wrong
essentially,basically,basically,Correct
keen,sharp,sharp,Correct
situated,positioned,positioned,Correct
principal,major,major,Correct
slowly,gradually,gradually,Correct
built,constructed,constructed,Correct
tasks,jobs,materials,Wrong
unlikely,improbable,different,Wrong
halfheartedly,apathetically,Guess,Guess
annals,chronicles,trails,Wrong
wildly,furiously,furiously,Correct
hailed,acclaimed,addressed,Wrong
command,mastery,observation,Wrong
concocted,devised,devised,Correct
prospective,potential,prominent,Wrong
generally,broadly,descriptively,Wrong
sustained,prolonged,prolonged,Correct
perilous,dangerous,binding,Wrong
tranquillity,peacefulness,weariness,Wrong
dissipate,disperse,disperse,Correct
primarily,chiefly,consistently,Wrong
colloquial,conversational,conversational,Correct
resolved,settled,settled,Correct
feasible,possible,equitable,Wrong
expeditiously,rapidly,rapidly,Correct
percentage,proportion,profit,Wrong
terminated,ended,postponed,Wrong
uniform,alike,hard,Wrong
figure,solve,list,Wrong
sufficient,enough,valuable,Wrong
fashion,manner,craze,Wrong
marketed,sold,diluted,Wrong
bigger,larger,closer,Wrong
roots,origins,origins,Correct
normally,ordinarily,ordinarily,Correct
