Question,Answer,Guessed_Word,Result Label
enormously,tremendously,tremendously,Correct
provisions,stipulations,interrelations,Wrong
haphazardly,randomly,densely,Wrong
prominent,conspicuous,ancient,Wrong
zenith,pinnacle,pinnacle,Correct
flawed,imperfect,imperfect,Correct
urgently,desperately,desperately,Correct
consumed,eaten,eaten,Correct
advent,coming,coming,Correct
concisely,succinctly,succinctly,Correct
salutes,greetings,greetings,Correct
solitary,alone,fearless,Wrong
hasten,accelerate,accelerate,Correct
perseverance,endurance,generosity,Wrong
fanciful,imaginative,imaginative,Correct
showed,demonstrated,repeated,Wrong
constantly,continually,instantly,Wrong
issues,subjects,benefits,Wrong
furnish,supply,advise,Wrong
costly,expensive,expensive,Correct
recognized,acknowledged,acknowledged,Correct
spot,location,location,Correct
make,earn,borrow,Wrong
often,frequently,hardly,Wrong
easygoing,relaxed,relaxed,Correct
debate,argument,election,Wrong
narrow,thin,clear,Wrong
arranged,planned,discarded,Wrong
infinite,limitless,limitless,Correct
showy,striking,incidental,Wrong
levied,imposed,imposed,Correct
deftly,skillfully,skillfully,Correct
distribute,circulate,commercialize,Wrong
discrepancies,differences,deposits,Wrong
prolific,productive,promising,Wrong
unmatched,unequaled,unrecognized,Wrong
peculiarly,uniquely,Guess,Guess
hue,color,contrast,Wrong
hind,rear,rear,Correct
highlight,accentuate,alter,Wrong
hastily,hurriedly,hurriedly,Correct
temperate,mild,mild,Correct
grin,smile,smile,Correct
verbally,orally,orally,Correct
physician,doctor,nurse,Wrong
essentially,basically,basically,Correct
keen,sharp,useful,Wrong
situated,positioned,positioned,Correct
principal,major,major,Correct
slowly,gradually,gradually,Correct
built,constructed,organized,Wrong
tasks,jobs,materials,Wrong
unlikely,improbable,improbable,Correct
halfheartedly,apathetically,Guess,Guess
annals,chronicles,chronicles,Correct
wildly,furiously,distinctively,Wrong
hailed,acclaimed,addressed,Wrong
command,mastery,mastery,Correct
concocted,devised,devised,Correct
prospective,potential,prominent,Wrong
generally,broadly,controversially,Wrong
sustained,prolonged,prolonged,Correct
perilous,dangerous,binding,Wrong
tranquillity,peacefulness,weariness,Wrong
dissipate,disperse,isolate,Wrong
primarily,chiefly,chiefly,Correct
colloquial,conversational,conversational,Correct
resolved,settled,settled,Correct
feasible,possible,evident,Wrong
expeditiously,rapidly,repeatedly,Wrong
percentage,proportion,profit,Wrong
terminated,ended,evaluated,Wrong
uniform,alike,hard,Wrong
figure,solve,list,Wrong
sufficient,enough,valuable,Wrong
fashion,manner,manner,Correct
marketed,sold,diluted,Wrong
bigger,larger,larger,Correct
roots,origins,origins,Correct
normally,ordinarily,ordinarily,Correct
